Time [s],Value,Parity Error,Framing Error
5.728760330000000,0x00,,
5.728770350000000,0x00,,
5.728780360000000,0x03,,
5.728790390000000,0x06,,
5.728800410000000,0x00,,
5.728810430000000,0xD7,,
5.728820450000000,0xA0,,
5.750783690000000,0x00,,
5.750794710000000,0x01,,
5.750804730000000,0x03,,
5.750815750000000,0x06,,
5.750826770000000,0x01,,
5.750837800000000,0x17,,
5.750848820000000,0x9C,,
5.879773470000000,0x00,,
5.879784490000000,0x01,,
5.879795520000000,0x03,,
5.879806540000000,0x4C,,
5.879817560000000,0x00,,
5.879827580000000,0xE1,,
5.879838600000000,0x3C,,
5.879848620000000,0x00,,
5.879858640000000,0x00,,
5.879868660000000,0x03,,
5.879878680000000,0x4C,,
5.879888700000000,0x00,,
5.879898720000000,0xE0,,
5.879908740000000,0xC0,,
5.884768440000000,0x00,,
5.884779460000000,0x01,,
5.884790480000000,0x03,,
5.884800500000000,0x06,,
5.884811530000000,0x01,,
5.884822550000000,0x17,,
5.884833570000000,0x9C,,
5.884843590000000,0x00,,
5.884853610000000,0x00,,
5.884863630000000,0x03,,
5.884873650000000,0x06,,
5.884883670000000,0x00,,
5.884893690000000,0xD7,,
5.884903710000000,0xA0,,
9.053740370000000,0x00,,
9.053751390000000,0x01,,
9.053762400000000,0x05,,
9.053772410000001,0x36,,
9.053783429999999,0x10,,
9.053794440000001,0x23,,
9.053805460000000,0x91,,
9.053815470000000,0x00,,
9.053825480000000,0x00,,
9.053835500000000,0x05,,
9.053845510000000,0x36,,
9.053855520000001,0x10,,
9.053865540000000,0x22,,
9.053875550000001,0x6D,,
9.059736360000000,0x01,,
9.059747379999999,0x01,,
9.059758390000001,0x05,,
9.059769409999999,0x56,,
9.059780419999999,0x00,,
9.059791440000000,0x00,,
9.059801450000000,0xDC,,
9.059812460000000,0xD6,,
9.059822470000000,0x01,,
9.059832490000000,0x00,,
9.059842500000000,0x05,,
9.059852510000001,0x56,,
9.059862519999999,0x00,,
9.059872540000001,0x00,,
9.059882549999999,0xE1,,
9.059892560000000,0x16,,
9.062739340000000,0x01,,
9.062750360000001,0x01,,
9.062761370000000,0x05,,
9.062771390000000,0xB6,,
9.062782400000000,0x80,,
9.062793420000000,0x00,,
9.062804430000000,0xBC,,
9.062815450000000,0xE0,,
9.062825460000001,0x01,,
9.062835480000000,0x00,,
9.062845490000001,0x05,,
9.062855500000000,0xB6,,
9.062865510000000,0x80,,
9.062875529999999,0x00,,
9.062885540000000,0x81,,
9.062895550000000,0x20,,
9.066731660000000,0x02,,
9.066742680000001,0x01,,
9.066753700000000,0x05,,
9.066763710000000,0x2B,,
9.066774720000000,0x00,,
9.066785740000000,0x65,,
9.066796760000001,0x02,,
9.066807770000000,0x56,,
9.066818780000000,0x64,,
9.066828790000001,0x02,,
9.066838810000000,0x00,,
9.066848820000001,0x05,,
9.066858840000000,0x2B,,
9.066868850000001,0x00,,
9.066878859999999,0x65,,
9.066888870000000,0x12,,
9.066898889999999,0x56,,
