Time [s],Value,Parity Error,Framing Error
3.350721650000000,0x00,,Error
5.554691160000000,0xD0,,
5.554701160000000,0x03,,
5.554711160000000,0x4C,,
5.554721160000000,0x00,,
5.554731160000000,0xFC,,
5.554741160000000,0x24,,
5.563686790000000,0xD0,,
5.563696790000000,0x03,,
5.563706790000000,0x09,,
5.563716790000000,0x01,,
5.563726790000000,0x0F,,
5.563736790000000,0x74,,
5.567683480000000,0xD0,,
5.567693480000000,0x03,,
5.567703480000000,0x06,,
5.567713480000000,0x00,,
5.567723480000000,0xCB,,
5.567733480000000,0x44,,
5.571691710000000,0xD0,,
5.571701710000000,0x03,,
5.571711710000000,0x06,,
5.571721710000000,0x01,,
5.571731710000000,0x0A,,
5.571741710000000,0x84,,
5.575690560000000,0xD0,,
5.575700560000000,0x03,,
5.575710560000000,0x06,,
5.575720560000000,0x02,,
5.575730560000000,0x4A,,
5.575740560000000,0x85,,
5.579687790000000,0xD0,,
5.579697790000000,0x03,,
5.579707790000000,0x06,,
5.579717790000000,0x03,,
5.579727790000000,0x8B,,
5.579737790000000,0x45,,
5.583686190000000,0xD0,,
5.583696190000000,0x03,,
5.583706190000000,0x06,,
5.583716190000000,0x04,,
5.583726190000000,0xCA,,
5.583736190000000,0x87,,
5.586685250000000,0xD0,,
5.586695250000000,0x03,,
5.586705250000000,0x06,,
5.586715250000000,0x05,,
5.586725250000000,0x0B,,
5.586735250000000,0x47,,
5.592687320000000,0xD0,,
5.592697320000000,0x03,,
5.592707320000000,0x06,,
5.592717320000000,0x06,,
5.592727320000000,0x4B,,
5.592737320000000,0x46,,
5.596684720000000,0xD0,,
5.596694710000000,0x03,,
5.596704710000000,0x06,,
5.596714710000000,0x07,,
5.596724710000000,0x8A,,
5.596734710000000,0x86,,
5.600683070000000,0xD0,,
5.600693070000000,0x03,,
5.600703070000000,0x06,,
5.600713070000000,0x08,,
5.600723070000000,0xCA,,
5.600733070000000,0x82,,
5.604691090000000,0xD0,,
5.604701090000000,0x03,,
5.604711090000000,0x06,,
5.604721090000000,0x09,,
5.604731090000000,0x0B,,
5.604741090000000,0x42,,
5.609687620000000,0xD0,,
5.609697620000000,0x03,,
5.609707620000000,0x06,,
5.609717620000000,0x0A,,
5.609727620000000,0x4B,,
5.609737620000000,0x43,,
5.614690310000000,0xD0,,
5.614700310000000,0x03,,
5.614710310000000,0x06,,
5.614720310000000,0x0B,,
5.614730310000000,0x8A,,
5.614740310000000,0x83,,
5.618687040000000,0xD0,,
5.618697040000000,0x03,,
5.618707040000000,0x06,,
5.618717040000000,0x0C,,
5.618727040000000,0xCB,,
5.618737040000000,0x41,,
5.623684280000000,0xD0,,
5.623694270000000,0x03,,
5.623704270000000,0x06,,
5.623714270000000,0x0D,,
5.623724270000000,0x0A,,
5.623734270000000,0x81,,
5.628689800000000,0xD0,,
5.628699800000000,0x03,,
5.628709800000000,0x06,,
5.628719800000000,0x0E,,
5.628729800000000,0x4A,,
5.628739800000000,0x80,,
5.632688950000000,0xD0,,
5.632698950000000,0x03,,
5.632708950000000,0x06,,
5.632718950000000,0x0F,,
5.632728950000000,0x8B,,
5.632738950000000,0x40,,
5.636687340000000,0xD0,,
5.636697340000000,0x03,,
5.636707340000000,0x06,,
5.636717340000000,0x10,,
5.636727340000000,0xCA,,
5.636737340000000,0x88,,
5.641690080000000,0xD0,,
5.641700080000000,0x03,,
5.641710080000000,0x06,,
5.641720080000000,0x11,,
5.641730080000000,0x0B,,
5.641740080000000,0x48,,
5.644688510000000,0xD0,,
5.644698510000000,0x03,,
5.644708510000000,0x06,,
5.644718510000000,0x12,,
5.644728510000000,0x4B,,
5.644738510000000,0x49,,
5.648687530000000,0xD0,,
5.648697530000000,0x03,,
5.648707530000000,0x06,,
5.648717530000000,0x13,,
5.648727530000000,0x8A,,
5.648737530000000,0x89,,
5.651689630000000,0xD0,,
5.651699630000000,0x03,,
5.651709630000000,0x06,,
5.651719630000000,0x14,,
5.651729630000000,0xCB,,
5.651739630000000,0x4B,,
5.656683280000000,0xD0,,
5.656693280000000,0x03,,
5.656703280000000,0x06,,
5.656713280000000,0x15,,
5.656723280000000,0x0A,,
5.656733280000000,0x8B,,
5.660682140000000,0xD0,,
5.660692130000000,0x03,,
5.660702140000000,0x06,,
5.660712130000000,0x16,,
5.660722140000000,0x4A,,
5.660732130000000,0x8A,,
5.663690280000000,0xD0,,
5.663700280000000,0x03,,
5.663710280000000,0x06,,
5.663720280000000,0x17,,
5.663730280000000,0x8B,,
5.663740280000000,0x4A,,
5.670681350000000,0xD0,,
5.670691350000000,0x03,,
5.670701350000000,0x06,,
5.670711350000000,0x18,,
5.670721350000000,0xCB,,
5.670731350000000,0x4E,,
5.674687630000000,0xD0,,
5.674697630000000,0x03,,
5.674707630000000,0x06,,
5.674717630000000,0x19,,
5.674727630000000,0x0A,,
5.674737630000000,0x8E,,
5.677691430000000,0xD0,,
5.677701430000000,0x03,,
5.677711430000000,0x06,,
5.677721430000000,0x1A,,
5.677731430000000,0x4A,,
5.677741430000000,0x8F,,
5.680690530000000,0xD0,,
5.680700530000000,0x03,,
5.680710530000000,0x06,,
5.680720530000000,0x1B,,
5.680730530000000,0x8B,,
5.680740530000000,0x4F,,
5.686681650000000,0xD0,,
5.686691650000000,0x03,,
5.686701650000000,0x06,,
5.686711650000000,0x1C,,
5.686721650000000,0xCA,,
5.686731650000000,0x8D,,
5.691688050000000,0xD0,,
5.691698050000000,0x03,,
5.691708050000000,0x06,,
5.691718050000000,0x1D,,
5.691728050000000,0x0B,,
5.691738050000000,0x4D,,
5.694686520000000,0xD0,,
5.694696520000000,0x03,,
5.694706520000000,0x06,,
5.694716520000000,0x1E,,
5.694726520000000,0x4B,,
5.694736520000000,0x4C,,
5.700689220000000,0xD0,,
5.700699220000000,0x03,,
5.700709220000000,0x06,,
5.700719220000000,0x1F,,
5.700729220000000,0x8A,,
5.700739220000000,0x8C,,
5.703682240000000,0xD0,,
5.703692240000000,0x03,,
5.703702240000000,0x06,,
5.703712240000000,0x20,,
5.703722240000000,0xCA,,
5.703732240000000,0x9C,,
5.708684760000000,0xD0,,
5.708694760000000,0x03,,
5.708704760000000,0x06,,
5.708714760000000,0x21,,
5.708724760000000,0x0B,,
5.708734760000000,0x5C,,
5.714681590000000,0xD0,,
5.714691580000000,0x03,,
5.714701590000000,0x06,,
5.714711580000000,0x22,,
5.714721590000000,0x4B,,
5.714731580000000,0x5D,,
5.719684280000000,0xD0,,
5.719694280000000,0x03,,
5.719704280000000,0x06,,
5.719714280000000,0x23,,
5.719724280000000,0x8A,,
5.719734280000000,0x9D,,
5.728686780000000,0x80,,
5.728696780000000,0x00,,
5.728706780000000,0x03,,
5.728716780000000,0x06,,
5.728726780000000,0x00,,
5.728736780000000,0xD6,,
5.728746780000000,0x7E,,
5.750686070000000,0x80,,
5.750696070000000,0x01,,
5.750706070000000,0x03,,
5.750716070000000,0x06,,
5.750726070000000,0x00,,
5.750736070000000,0xD7,,
5.750746070000000,0x82,,
5.766682530000000,0x80,,
5.766692530000000,0x02,,
5.766702530000000,0x03,,
5.766712520000000,0x06,,
5.766722530000000,0x00,,
5.766732530000000,0xD7,,
5.766742530000000,0xC6,,
5.864685920000000,0xD0,,
5.864695920000000,0x03,,
5.864705920000000,0x08,,
5.864715920000000,0x02,,
5.864725920000000,0x4E,,
5.864735920000000,0xE5,,
5.870688570000000,0x90,,
5.870698570000000,0x00,,
5.870708570000000,0x03,,
5.870718570000000,0x08,,
5.870728570000000,0x00,,
5.870738570000000,0x13,,
5.870748570000000,0xDD,,
5.875687310000000,0x90,,
5.875697310000000,0x01,,
5.875707310000000,0x03,,
5.875717310000000,0x08,,
5.875727310000000,0x03,,
5.875737310000000,0x52,,
5.875747310000000,0x20,,
5.879688500000000,0xC0,,
5.879698490000000,0x03,,
5.879708500000000,0x4C,,
5.879718490000000,0x00,,
5.879728500000000,0xF8,,
5.879738490000000,0xE4,,
5.884683020000000,0xC0,,
5.884693020000000,0x03,,
5.884703020000000,0x06,,
5.884713020000000,0x00,,
5.884723020000000,0xCF,,
5.884733020000000,0x84,,
5.916685110000000,0xD0,,
5.916695110000000,0x03,,
5.916705110000000,0x32,,
5.916715110000000,0x03,,
5.916725110000000,0x9D,,
5.916735110000000,0x85,,
5.919683540000000,0xD0,,
5.919693540000000,0x00,,
5.919703540000000,0x19,,
5.919713540000000,0x00,,
5.919723540000000,0x33,,
5.919733540000000,0x74,,
9.013655060000000,0x90,,
9.013665059999999,0x00,,
9.013675060000001,0x00,,
9.013685060000000,0x03,,
9.013695060000000,0x0A,,
9.013705059999999,0x64,,
9.013715059999999,0xEA,,
9.024649910000001,0x90,,
9.024659910000000,0x01,,
9.024669910000000,0x00,,
9.024679910000000,0x03,,
9.024689909999999,0x0A,,
9.024699910000001,0x65,,
9.024709910000000,0x16,,
9.041648210000000,0xD0,,
9.041658210000000,0x00,,
9.041668209999999,0x07,,
9.041678210000001,0x00,,
9.041688210000000,0x3A,,
9.041698210000000,0xD4,,
9.044650350000000,0xD0,,
9.044660349999999,0x03,,
9.044670350000001,0x0D,,
9.044680350000000,0x1E,,
9.044690350000000,0x4C,,
9.044700349999999,0x7C,,
9.048658500000000,0xD0,,
9.048668500000000,0x03,,
9.048678499999999,0x0F,,
9.048688500000001,0x04,,
9.048698500000000,0xCC,,
9.048708500000000,0xD7,,
9.053654979999999,0xC0,,
9.053664980000001,0x05,,
9.053674980000000,0x36,,
9.053684980000000,0x00,,
9.053694980000000,0x3B,,
9.053704979999999,0x85,,
9.059651560000001,0xC0,,
9.059661550000000,0x05,,
9.059671549999999,0x56,,
9.059681550000001,0x01,,
9.059691550000000,0xD2,,
9.059701550000000,0x45,,
9.062653989999999,0xC0,,
9.062663990000001,0x05,,
9.062673990000000,0xB6,,
9.062683990000000,0x01,,
9.062693990000000,0x9B,,
9.062703989999999,0x85,,
9.066646340000000,0xC0,,
9.066656340000000,0x05,,
9.066666339999999,0x2B,,
9.066676340000001,0x02,,
9.066686340000000,0xB3,,
9.066696340000000,0x14,,
9.069653190000000,0xC0,,
9.069663190000000,0x05,,
9.069673190000000,0x30,,
9.069683189999999,0x02,,
9.069693190000001,0xB9,,
9.069703190000000,0xE4,,
9.075649260000000,0xC0,,
9.075659260000000,0x05,,
9.075669260000000,0x3C,,
9.075679259999999,0x03,,
9.075689260000001,0x7D,,
9.075699260000000,0x24,,
9.078647569999999,0xC0,,
9.078657570000001,0x05,,
9.078667570000000,0xAE,,
9.078677570000000,0x03,,
9.078687570000000,0x10,,
9.078697569999999,0x44,,
9.082650180000000,0xC0,,
9.082660170000000,0x03,,
9.082670170000000,0x18,,
9.082680170000000,0x0F,,
9.082690169999999,0x86,,
9.082700170000001,0x20,,
9.086649200000000,0xC0,,
9.086659190000001,0x05,,
9.086669190000000,0x8E,,
9.086679190000000,0x0F,,
9.086689190000000,0x09,,
9.086699189999999,0x81,,
9.153652050000000,0xC0,,
9.153662049999999,0x05,,
9.153672050000001,0x68,,
9.153682050000000,0x21,,
9.153692050000000,0xC3,,
9.153702050000000,0xFD,,
9.168652000000000,0xC0,,
9.168661999999999,0x05,,
9.168672000000001,0xB2,,
9.168682000000000,0x23,,
9.168692000000000,0x19,,
9.168702000000000,0x5C,,
9.172653270000000,0xC0,,
9.172663269999999,0x05,,
9.172673270000001,0x8C,,
9.172683270000000,0x01,,
9.172693270000000,0x89,,
9.172703270000000,0x25,,
9.176652250000000,0xC0,,
9.176662250000000,0x05,,
9.176672249999999,0xD6,,
9.176682250000001,0x02,,
9.176692250000000,0xF3,,
9.176702250000000,0x84,,
9.353645889999999,0xC0,,
9.353655880000000,0x05,,
9.353665879999999,0x36,,
9.353675880000001,0x00,,
9.353685880000000,0x3B,,
9.353695880000000,0x85,,
9.369648639999999,0xC0,,
9.369658630000000,0x05,,
9.369668630000000,0x56,,
9.369678629999999,0x01,,
9.369688630000001,0xD2,,
9.369698630000000,0x45,,
9.373650160000000,0xC0,,
9.373660160000000,0x05,,
9.373670160000000,0xB6,,
9.373680159999999,0x01,,
9.373690160000001,0x9B,,
9.373700160000000,0x85,,
9.377647050000000,0xC0,,
9.377657050000000,0x05,,
9.377667049999999,0x2B,,
9.377677050000001,0x02,,
9.377687050000000,0xB3,,
9.377697050000000,0x14,,
9.380644070000001,0xC0,,
9.380654070000000,0x05,,
9.380664070000000,0x30,,
9.380674070000000,0x02,,
9.380684069999999,0xB9,,
9.380694070000001,0xE4,,
9.384650960000000,0xC0,,
9.384660960000000,0x05,,
9.384670959999999,0x3C,,
9.384680960000001,0x03,,
9.384690960000000,0x7D,,
9.384700960000000,0x24,,
9.387649900000000,0xC0,,
9.387659899999999,0x05,,
9.387669900000001,0xAE,,
9.387679900000000,0x03,,
9.387689900000000,0x10,,
9.387699899999999,0x44,,
9.391649380000000,0xC0,,
9.391659380000000,0x03,,
9.391669370000001,0x18,,
9.391679379999999,0x0F,,
9.391689380000001,0x86,,
9.391699380000000,0x20,,
9.394643600000000,0xC0,,
9.394653600000000,0x05,,
9.394663599999999,0x8E,,
9.394673600000001,0x0F,,
9.394683600000000,0x09,,
9.394693600000000,0x81,,
9.479648050000000,0xC0,,
9.479658040000000,0x05,,
9.479668040000000,0x68,,
9.479678040000000,0x21,,
9.479688039999999,0xC3,,
9.479698040000001,0xFD,,
9.496646760000001,0xC0,,
9.496656760000000,0x05,,
9.496666760000000,0xB2,,
9.496676760000000,0x23,,
9.496686759999999,0x19,,
9.496696760000001,0x5C,,
9.501645330000001,0xC0,,
9.501655330000000,0x05,,
9.501665330000000,0x8C,,
9.501675329999999,0x01,,
9.501685330000001,0x89,,
9.501695330000000,0x25,,
9.504647470000000,0xC0,,
9.504657470000000,0x05,,
9.504667469999999,0xD6,,
9.504677470000001,0x02,,
9.504687470000000,0xF3,,
9.504697470000000,0x84,,
9.665644390000001,0xC0,,
9.665654390000000,0x05,,
9.665664390000000,0x36,,
9.665674390000000,0x00,,
9.665684389999999,0x3B,,
9.665694390000001,0x85,,
9.680647260000001,0xC0,,
9.680657260000000,0x05,,
9.680667260000000,0x56,,
9.680677260000000,0x01,,
9.680687259999999,0xD2,,
9.680697260000001,0x45,,
9.695641470000000,0xC0,,
9.695651470000000,0x05,,
9.695661469999999,0xB6,,
9.695671470000001,0x01,,
9.695681470000000,0x9B,,
9.695691470000000,0x85,,
9.698643900000000,0xC0,,
9.698653900000000,0x05,,
9.698663900000000,0x2B,,
9.698673899999999,0x02,,
9.698683900000001,0xB3,,
9.698693900000000,0x14,,
9.712647309999999,0xC0,,
